0.4	1.5708	3.77816
0.4001	1.5704	3.7786
0.4002	1.57001	3.77886
0.4003	1.56962	3.77895
0.4004	1.56923	3.77886
0.4005	1.56884	3.77859
0.4006	1.56844	3.77813
0.4007	1.56805	3.77747
0.4008	1.56766	3.77662
0.4009	1.56727	3.77557
0.401	1.56688	3.77431
0.4011	1.56649	3.77284
0.4012	1.5661	3.77117
0.4013	1.56571	3.76927
0.4014	1.56532	3.76716
0.4015	1.56493	3.76482
0.4016	1.56454	3.76226
0.4017	1.56415	3.75946
0.4018	1.56376	3.75642
0.4019	1.56337	3.75315
0.402	1.56298	3.74963
0.4021	1.56259	3.74587
0.4022	1.5622	3.74186
0.4023	1.56182	3.7376
0.4024	1.56143	3.73308
0.4025	1.56104	3.72829
0.4026	1.56065	3.72325
0.4027	1.56026	3.71794
0.4028	1.55988	3.71237
0.4029	1.55949	3.70652
0.403	1.5591	3.7004
0.4031	1.55872	3.69401
0.4032	1.55833	3.68733
0.4033	1.55794	3.68038
0.4034	1.55756	3.67314
0.4035	1.55717	3.66563
0.4036	1.55679	3.65782
0.4037	1.5564	3.64974
0.4038	1.55601	3.64136
0.4039	1.55563	3.6327
0.404	1.55524	3.62374
0.4041	1.55486	3.6145
0.4042	1.55447	3.60498
0.4043	1.55409	3.59515
0.4044	1.55371	3.58504
0.4045	1.55332	3.57464
0.4046	1.55294	3.56396
0.4047	1.55255	3.55298
0.4048	1.55217	3.54172
0.4049	1.55179	3.53017
0.405	1.5514	3.51834
0.4051	1.55102	3.50623
0.4052	1.55064	3.49383
0.4053	1.55026	3.48116
0.4054	1.54987	3.46821
0.4055	1.54949	3.455
0.4056	1.54911	3.44151
0.4057	1.54873	3.42776
0.4058	1.54835	3.41374
0.4059	1.54796	3.39946
0.406	1.54758	3.38494
0.4061	1.5472	3.37016
0.4062	1.54682	3.35513
0.4063	1.54644	3.33986
0.4064	1.54606	3.32436
0.4065	1.54568	3.30863
0.4066	1.5453	3.29267
0.4067	1.54492	3.27649
0.4068	1.54454	3.26009
0.4069	1.54416	3.24349
0.407	1.54378	3.22668
0.4071	1.5434	3.20968
0.4072	1.54302	3.19248
0.4073	1.54264	3.17511
0.4074	1.54226	3.15756
0.4075	1.54189	3.13983
0.4076	1.54151	3.12195
0.4077	1.54113	3.10391
0.4078	1.54075	3.08572
0.4079	1.54037	3.0674
0.408	1.54	3.04894
0.4081	1.53962	3.03035
0.4082	1.53924	3.01165
0.4083	1.53886	2.99283
0.4084	1.53849	2.97392
0.4085	1.53811	2.95491
0.4086	1.53774	2.93581
0.4087	1.53736	2.91664
0.4088	1.53698	2.89739
0.4089	1.53661	2.87808
0.409	1.53623	2.85872
0.4091	1.53586	2.8393
0.4092	1.53548	2.81985
0.4093	1.53511	2.80037
0.4094	1.53473	2.78087
0.4095	1.53436	2.76133
0.4096	1.53398	2.7418
0.4097	1.53361	2.72226
